,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2016-06-09,971.15,-0.9999,0.146,0.769,0.085,960.0,976.45,956.2,3575840.0
2016-06-10,976.7,-0.9999,0.123,0.823,0.054,974.0,984.4,968.3,3729737.0
2016-06-13,981.1,-0.9998,0.147,0.745,0.107,969.9,983.45,963.05,2334856.0
2016-06-14,976.25,-0.9999,0.143,0.777,0.08,980.95,985.4,969.3,2497008.0
2016-06-15,984.6,-0.9999,0.157,0.754,0.089,980.0,986.5,973.75,2543921.0
2016-06-16,976.3,-1.0,0.166,0.756,0.078,981.0,983.65,967.05,2142329.0
2016-06-17,974.9,-0.9999,0.158,0.762,0.079,977.0,978.65,970.1,2408096.0
2016-06-20,990.2,-0.9999,0.143,0.777,0.08,972.15,992.6,968.0,2459237.0
2016-06-21,987.1,-0.9999,0.139,0.778,0.083,994.1,994.15,979.7,3184865.0
2016-06-22,980.5,-0.9996,0.125,0.778,0.096,985.0,985.9,977.1,2923284.0
2016-06-23,980.45,-0.9999,0.138,0.771,0.092,979.95,982.0,970.0,2248693.0
2016-06-24,951.45,-0.9998,0.142,0.76,0.098,964.9,964.9,933.4,5711173.0
2016-06-27,955.65,0.9898,0.104,0.783,0.113,940.5,958.4,940.5,2094599.0
2016-06-28,957.8,-0.9999,0.136,0.778,0.086,956.4,961.55,955.0,1738370.0
2016-06-29,966.9,-0.9999,0.148,0.773,0.079,962.0,968.95,960.0,1719857.0
2016-06-30,969.15,-0.9999,0.147,0.754,0.099,972.0,977.5,967.05,2916329.0
2016-07-01,973.45,-0.9997,0.132,0.767,0.102,972.75,976.8,970.0,1510979.0
2016-07-04,986.7,-0.9989,0.122,0.778,0.101,975.5,993.6,975.5,1783750.0
2016-07-05,993.1,-0.9997,0.13,0.774,0.096,986.1,1002.9,980.3,2596678.0
2016-07-07,987.9,-0.9992,0.119,0.783,0.097,992.5,1000.5,986.15,2749648.0
2016-07-08,978.4,-0.9998,0.144,0.752,0.104,987.0,989.0,976.35,1632225.0
2016-07-11,992.5,-0.9998,0.145,0.759,0.096,991.0,994.95,985.5,1889606.0
2016-07-12,1003.4,-0.9998,0.139,0.763,0.098,995.25,1005.0,991.0,2232685.0
2016-07-13,1008.75,-0.9995,0.115,0.798,0.087,1005.2,1016.7,1004.15,3409386.0
2016-07-14,1004.9,-0.9995,0.121,0.781,0.098,1008.1,1014.1,998.25,2459183.0
2016-07-15,1012.2,-0.9998,0.143,0.76,0.097,1009.0,1021.0,1003.5,3198562.0
2016-07-18,1006.25,-0.9998,0.138,0.759,0.102,1028.0,1038.75,1001.75,7339086.0
2016-07-19,1017.8,-0.9996,0.13,0.768,0.103,1006.0,1022.95,995.3,3805750.0
2016-07-20,1023.0,-0.9999,0.152,0.771,0.078,1019.95,1028.3,1016.55,2803645.0
2016-07-21,1006.35,-0.9998,0.128,0.783,0.088,1024.0,1025.0,1005.0,1534044.0
2016-07-22,1014.85,-0.9984,0.118,0.777,0.106,1006.0,1017.8,1005.1,1577114.0
2016-07-25,1022.75,-0.9999,0.152,0.769,0.078,1014.0,1023.75,1007.35,1883884.0
2016-07-26,1024.05,-0.9998,0.145,0.756,0.099,1023.0,1034.8,1015.2,2403872.0
2016-07-27,1013.1,-0.9999,0.155,0.759,0.086,1023.05,1026.0,1008.95,2521448.0
2016-07-28,1026.35,-0.9999,0.169,0.734,0.098,1014.95,1030.5,1013.05,3568375.0
2016-07-29,1014.9,-0.9998,0.133,0.781,0.086,1024.0,1024.9,1012.0,2201164.0
2016-08-01,1009.5,-0.9997,0.143,0.747,0.11,1018.0,1020.3,1005.05,1823694.0
2016-08-02,1012.8,-0.9999,0.144,0.769,0.087,1008.0,1020.0,1006.3,1762408.0
2016-08-03,993.95,-0.9999,0.151,0.756,0.093,1014.4,1014.4,991.5,2713804.0
2016-08-04,993.0,-0.9999,0.157,0.762,0.081,999.0,1000.0,983.4,2328716.0
2016-08-05,1016.25,-0.9999,0.134,0.782,0.083,998.0,1019.0,997.05,2767914.0
2016-08-08,1029.25,-0.9997,0.136,0.762,0.102,1019.9,1034.0,1018.65,3098753.0
2016-08-09,1030.7,-0.9998,0.125,0.796,0.079,1027.0,1034.5,1021.0,3038046.0
2016-08-10,1003.65,-0.9997,0.134,0.764,0.103,1031.25,1034.55,1002.0,3079463.0
2016-08-11,1014.1,-0.9999,0.16,0.749,0.091,1001.95,1022.85,999.6,3238899.0
2016-08-12,1035.8,-0.9999,0.135,0.781,0.084,1017.0,1042.9,1017.0,3740861.0
2016-08-16,1024.9,-0.9511,0.117,0.764,0.119,1036.25,1044.8,1015.5,3055603.0
2016-08-17,1013.3,-0.9999,0.147,0.758,0.094,1024.1,1028.8,1007.2,3539970.0
2016-08-18,1018.05,-0.9994,0.138,0.746,0.116,1016.0,1023.65,1016.0,1771449.0
2016-08-19,1014.9,-0.9991,0.127,0.759,0.114,1018.0,1022.0,1007.1,1869308.0
2016-08-22,1011.85,-0.9993,0.132,0.759,0.109,1012.0,1019.7,1007.2,1527904.0
2016-08-23,1010.45,-0.9999,0.156,0.766,0.078,1012.0,1015.0,1005.0,1673328.0
2016-08-24,1020.5,-0.9999,0.138,0.779,0.083,1011.7,1021.95,1011.0,1993153.0
2016-08-25,1012.7,-0.9999,0.145,0.765,0.09,1021.2,1029.0,1009.0,3419775.0
2016-08-26,1027.9,-0.9716,0.102,0.798,0.099,1017.9,1030.8,1014.6,2203465.0
2016-08-29,1057.45,-0.9999,0.15,0.755,0.095,1027.25,1059.75,1026.1,3701495.0
2016-08-30,1066.4,-0.9998,0.124,0.793,0.082,1062.0,1068.5,1053.0,4153522.0
2016-08-31,1060.0,-0.9997,0.124,0.782,0.094,1064.9,1074.0,1047.0,5324960.0
2016-09-01,1029.2,-0.9997,0.128,0.773,0.099,1053.0,1072.75,1025.7,9742454.0
2016-09-02,1013.35,-0.9994,0.114,0.792,0.094,1031.1,1032.55,1002.3,6428814.0
2016-09-06,1019.9,-0.9988,0.109,0.8,0.091,1019.9,1025.0,1015.0,2631091.0
2016-09-07,1017.65,-0.9997,0.129,0.778,0.093,1022.0,1027.05,1013.05,2954995.0
2016-09-08,1033.4,-0.9998,0.125,0.787,0.088,1023.05,1035.95,1020.2,2790196.0
2016-09-09,1044.55,-0.9989,0.118,0.779,0.103,1035.0,1049.9,1030.0,3490441.0
2016-09-12,1046.5,-0.9997,0.128,0.779,0.093,1030.4,1056.0,1029.15,7699800.0
2016-09-14,1044.75,-0.9998,0.141,0.761,0.098,1048.0,1059.0,1040.9,4252754.0
2016-09-15,1065.0,-0.9998,0.131,0.773,0.095,1047.0,1070.2,1047.0,7170885.0
2016-09-16,1075.55,-0.9999,0.147,0.762,0.091,1067.0,1093.85,1059.1,8988926.0
2016-09-19,1082.4,-0.9993,0.117,0.793,0.09,1072.55,1088.0,1071.0,3812324.0
2016-09-20,1074.2,-0.9999,0.136,0.791,0.073,1084.0,1084.75,1069.05,2635854.0
2016-09-21,1072.25,-0.9998,0.137,0.772,0.091,1074.0,1084.9,1069.0,2501476.0
2016-09-22,1088.95,-0.9997,0.14,0.752,0.107,1083.0,1095.8,1079.0,4288544.0
2016-09-23,1102.8,-0.9999,0.157,0.765,0.078,1089.0,1109.45,1089.0,7105725.0
2016-09-26,1107.2,-0.9998,0.139,0.761,0.1,1103.4,1129.55,1100.25,8734943.0
2016-09-27,1110.5,-0.9998,0.127,0.786,0.088,1117.0,1125.95,1106.6,4428693.0
2016-09-28,1090.65,-0.9999,0.135,0.783,0.082,1107.9,1108.0,1086.3,5673488.0
2016-09-29,1072.45,-0.9998,0.131,0.785,0.084,1095.0,1110.75,1067.4,4859746.0
2016-09-30,1083.7,-0.9996,0.133,0.762,0.105,1068.0,1094.55,1066.3,2560105.0
2016-10-03,1090.7,-0.9994,0.131,0.757,0.112,1087.0,1107.95,1076.25,4143109.0
2016-10-04,1096.35,-0.9999,0.146,0.758,0.095,1093.05,1108.3,1092.0,2997544.0
2016-10-05,1089.4,-0.9997,0.126,0.78,0.094,1104.0,1106.5,1085.8,2466397.0
2016-10-06,1110.8,-0.9999,0.144,0.764,0.092,1092.0,1126.25,1092.0,4825630.0
2016-10-07,1109.0,-0.9999,0.136,0.778,0.086,1114.0,1123.05,1106.5,3492838.0
2016-10-10,1096.35,-0.9983,0.11,0.791,0.099,1114.0,1122.0,1094.0,2640973.0
2016-10-13,1057.15,-0.9999,0.16,0.75,0.091,1089.0,1089.05,1052.0,5014667.0
2016-10-14,1077.65,-0.9999,0.139,0.777,0.084,1063.0,1082.0,1061.65,3489473.0
2016-10-17,1060.65,-0.9998,0.138,0.77,0.092,1080.0,1080.8,1058.75,2246237.0
2016-10-18,1081.1,-0.9999,0.152,0.765,0.083,1066.0,1082.75,1062.05,2531133.0
2016-10-19,1087.35,-0.9999,0.162,0.752,0.085,1084.45,1094.7,1081.4,3902656.0
2016-10-20,1087.55,-0.9998,0.138,0.77,0.093,1093.95,1098.0,1084.05,2314521.0
2016-10-21,1064.2,-0.9999,0.138,0.781,0.081,1097.0,1097.0,1058.4,9968242.0
2016-10-24,1063.3,-0.9994,0.114,0.796,0.09,1070.0,1074.0,1060.65,2403099.0
